COUNTRY,YEAR_ADDED,TITLE_COUNT
Norway,2017-01-01,11
Portugal,2015-01-01,10
France,2018-01-01,133
Bosnia and Herzegovina,2018-01-01,2
Denmark,2019-01-01,22
Colombia,2019-01-01,8
Germany,2019-01-01,65
Finland,2019-01-01,8
Czech Republic,2019-01-01,5
Sweden,2021-01-01,25
Japan,2021-01-01,199
Argentina,2021-01-01,9
Belgium,2021-01-01,41
Italy,2021-01-01,38
Greece,2019-01-01,8
Belgium,2022-01-01,46
Denmark,2022-01-01,15
Spain,2022-01-01,48
New Zealand,2022-01-01,3
Belgium,2023-01-01,49
Belgium,2024-01-01,29
Denmark,2024-01-01,14
Sweden,2024-01-01,20
Portugal,2025-01-01,8
Peru,2025-01-01,2
Argentina,2018-01-01,14
Philippines,2015-01-01,29
Singapore,2012-01-01,9
Czech Republic,2013-01-01,9
South Africa,2021-01-01,11
Israel,2013-01-01,11
Finland,2013-01-01,5
China,2012-01-01,97
Australia,2017-01-01,25
Belgium,2020-01-01,45
Canada,2021-01-01,98
New Zealand,2021-01-01,5
Mexico,2022-01-01,38
Uruguay,2022-01-01,2
Finland,2022-01-01,12
Germany,2024-01-01,50
Greece,2024-01-01,7
Botswana,2024-01-01,1
Singapore,2025-01-01,4
Peru,2024-01-01,2
Brazil,2015-01-01,29
Czech Republic,2010-01-01,9
Argentina,2010-01-01,12
Netherlands,2015-01-01,21
Greece,2011-01-01,3
Iran,2012-01-01,3
Cambodia,2013-01-01,2
Finland,2020-01-01,7
Finland,2018-01-01,6
Chile,2012-01-01,13
Singapore,2010-01-01,6
South Africa,2010-01-01,6
Denmark,2011-01-01,15
Ukraine,2012-01-01,1
Poland,2013-01-01,11
Singapore,2013-01-01,4
Taiwan,2013-01-01,14
Argentina,2013-01-01,13
Norway,2014-01-01,12
Russia,2015-01-01,19
Ukraine,2015-01-01,6
Morocco,2015-01-01,3
Georgia,2015-01-01,1
Malta,2015-01-01,2
Cambodia,2018-01-01,1
Netherlands,2018-01-01,13
Romania,2020-01-01,3
Argentina,2019-01-01,13
Vietnam,2022-01-01,4
Saudi Arabia,2023-01-01,5
Egypt,2020-01-01,8
Switzerland,2015-01-01,11
Cameroon,2019-01-01,1
Lebanon,2025-01-01,2
Hungary,2024-01-01,6
Namibia,2011-01-01,1
Lebanon,2012-01-01,2
Latvia,2014-01-01,1
Algeria,2017-01-01,1
Tunisia,2023-01-01,1
Slovenia,2011-01-01,1
Bahamas,2014-01-01,2
Serbia,2021-01-01,4
Romania,2023-01-01,2
Saudi Arabia,2016-01-01,1
Greenland,2025-01-01,1
Malta,2017-01-01,1
Kenya,2021-01-01,1
Lithuania,2020-01-01,3
Georgia,2020-01-01,2
Vietnam,2021-01-01,1
Malaysia,2021-01-01,5
Morocco,2013-01-01,1
United Arab Emirates,2022-01-01,3
Israel,2023-01-01,2
Guatemala,2024-01-01,1
Bangladesh,2011-01-01,1
Armenia,2016-01-01,1
Zambia,2017-01-01,1
Faeroe Islands,2021-01-01,1
Bangladesh,2023-01-01,1
Puerto Rico,2024-01-01,1
Qatar,2025-01-01,1
Jordan,2025-01-01,1
Ukraine,2013-01-01,2
Cuba,2013-01-01,1
Nigeria,2014-01-01,1
Slovenia,2022-01-01,1
Kazakhstan,2014-01-01,1
France,2011-01-01,167
China,2011-01-01,97
Germany,2012-01-01,95
Turkey,2011-01-01,22
Mexico,2011-01-01,28
Venezuela,2014-01-01,5
Finland,2015-01-01,10
Norway,2015-01-01,18
Belgium,2015-01-01,35
India,2017-01-01,64
Brazil,2017-01-01,33
Spain,2017-01-01,53
Sweden,2016-01-01,10
Mexico,2017-01-01,37
Australia,2019-01-01,22
Germany,2020-01-01,58
South Korea,2021-01-01,164
Spain,2024-01-01,85
Japan,2013-01-01,174
United States of America,2014-01-01,738
Switzerland,2016-01-01,5
Poland,2016-01-01,8
Russia,2016-01-01,28
Argentina,2017-01-01,13
Portugal,2017-01-01,4
Japan,2018-01-01,175
Germany,2018-01-01,73
Luxembourg,2018-01-01,6
South Korea,2019-01-01,170
Macedonia,2019-01-01,2
Vietnam,2019-01-01,3
United Kingdom,2020-01-01,173
Mexico,2020-01-01,35
China,2020-01-01,142
Luxembourg,2020-01-01,7
Mexico,2021-01-01,37
Puerto Rico,2022-01-01,2
Greece,2022-01-01,14
Serbia,2023-01-01,4
India,2023-01-01,38
Switzerland,2023-01-01,15
Turkey,2023-01-01,40
United States of America,2024-01-01,649
Mexico,2025-01-01,15
Russia,2025-01-01,25
Belgium,2025-01-01,30
Venezuela,2010-01-01,4
Colombia,2021-01-01,5
Romania,2016-01-01,7
Pakistan,2019-01-01,6
Croatia,2014-01-01,1
Egypt,2010-01-01,7
Egypt,2024-01-01,13
Malaysia,2019-01-01,6
Serbia,2014-01-01,2
Germany,2015-01-01,85
Brazil,2016-01-01,30
Israel,2016-01-01,7
Uruguay,2018-01-01,4
China,2019-01-01,207
Qatar,2019-01-01,1
Poland,2021-01-01,25
Ireland,2022-01-01,15
Canada,2024-01-01,66
Taiwan,2024-01-01,24
Poland,2024-01-01,18
Philippines,2024-01-01,57
Germany,2025-01-01,33
Czech Republic,2025-01-01,7
Indonesia,2025-01-01,27
Australia,2025-01-01,24
Colombia,2025-01-01,6
Morocco,2024-01-01,1
Egypt,2017-01-01,18
Thailand,2023-01-01,34
Poland,2022-01-01,17
South Africa,2025-01-01,5
Chile,2022-01-01,5
Taiwan,2017-01-01,9
Slovakia,2014-01-01,1
Brazil,2013-01-01,32
France,2019-01-01,132
Belgium,2019-01-01,66
Malta,2019-01-01,2
Azerbaijan,2023-01-01,1
Portugal,2014-01-01,7
Turkey,2014-01-01,28
Portugal,2013-01-01,11
Colombia,2011-01-01,7
Iraq,2017-01-01,2
Colombia,2016-01-01,7
Serbia,2018-01-01,4
Luxembourg,2019-01-01,9
Georgia,2019-01-01,2
Finland,2021-01-01,6
Puerto Rico,2019-01-01,2
Hungary,2022-01-01,2
Denmark,2023-01-01,13
Bangladesh,2024-01-01,1
Hungary,2025-01-01,6
United Arab Emirates,2024-01-01,3
Indonesia,2010-01-01,1
Iraq,2011-01-01,2
Venezuela,2016-01-01,2
Pakistan,2023-01-01,2
South Africa,2016-01-01,7
Romania,2011-01-01,3
Thailand,2015-01-01,10
Guatemala,2018-01-01,1
Morocco,2010-01-01,1
Portugal,2012-01-01,7
Ethiopia,2011-01-01,1
Lithuania,2011-01-01,2
Bulgaria,2014-01-01,11
Poland,2015-01-01,8
Estonia,2017-01-01,1
Peru,2015-01-01,1
Switzerland,2017-01-01,8
Portugal,2018-01-01,5
Slovakia,2019-01-01,2
Uruguay,2019-01-01,1
Greece,2021-01-01,7
Jordan,2020-01-01,1
Angola,2020-01-01,1
Mauritius,2022-01-01,1
Latvia,2024-01-01,2
Palestinian Territory,2024-01-01,1
Hungary,2014-01-01,4
Uruguay,2025-01-01,1
Portugal,2011-01-01,4
Hungary,2016-01-01,7
Lithuania,2014-01-01,3
United Arab Emirates,2018-01-01,3
Guatemala,2019-01-01,1
Mongolia,2019-01-01,1
Serbia,2022-01-01,2
Israel,2022-01-01,2
Finland,2023-01-01,5
Austria,2022-01-01,3
Venezuela,2013-01-01,4
Jordan,2018-01-01,1
Saudi Arabia,2022-01-01,2
Iran,2024-01-01,1
Angola,2016-01-01,1
Saudi Arabia,2018-01-01,1
Sri Lanka,2018-01-01,1
Georgia,2010-01-01,3
Latvia,2018-01-01,1
Mauritius,2020-01-01,1
Slovenia,2016-01-01,1
Kuwait,2016-01-01,1
Ecuador,2014-01-01,1
Iceland,2011-01-01,1
Panama,2016-01-01,1
Indonesia,2016-01-01,1
Kazakhstan,2017-01-01,1
Cyprus,2020-01-01,1
Kosovo,2023-01-01,1
Latvia,2025-01-01,1
Bangladesh,2025-01-01,2
Lithuania,2019-01-01,1
Vietnam,2020-01-01,1
Peru,2012-01-01,2
Ghana,2011-01-01,1
Monaco,2010-01-01,1
Georgia,2013-01-01,1
Iran,2019-01-01,1
Netherlands Antilles,2024-01-01,1
Slovakia,2018-01-01,2
