CAST_MEMBER,TITLE_COUNT,AVG_RATING
Colby Donaldson,1,6.9
Jeff Wise,1,6.576
Hannah Daniel,1,7.3
Fabián Ríos,7,7.003142857
Sarah Beeny,2,3.5
Tang Xiaotian,6,7.266666667
Eunhyuk,2,3.5
Melissa Khalaj,1,6.4
Markus Neby,3,1.333333333
Cory Oliver,2,5.4
Anton Tabakov,1,9.2
Daan Boom,1,0
Michèle Bernier,1,5.9
Franck Timmermans,1,7
Kali Rocha,3,6.833333333
Lai Jing,1,0
Brett Goldstein,3,6.938
Liu Shijie,1,7
Gabriel Rossi,1,8
Wen Song,2,9.2
David Wain,1,7.4
Ryan Bergara,2,8.2
Wu Luohan,1,4
Paradee Wongsawat,1,0
Enrique Carriazo,3,7.266666667
Matilda Goslett,1,0
Saheb Chatterjee,1,10
Lee Jae-Hwang,2,1.5
Itziar Castro,1,7.9
Ahmed Ghozzi,2,0
Robert Stanton,1,5.78
Cheng Taishen,5,2.78
Rose-Marie Coallier,1,6.3
Yasuaki Kurata,3,7
Kiely Williams,2,5.25
Kate Bell,1,6
Christoph Bach,1,7
Gisèle Casadesus,1,6.9
Iftach Ophir,1,5.8
Maki Mizui,1,5.5
Evangelia Randou,1,6.2
Martin Bell,1,6.8
Silajit Majumder,1,5.4
Luis Hacha,1,4
Will Denton,1,3.8
Fran Lebowitz,1,7
Tony Goldwyn,6,6.396
Gary Basaraba,1,6.7
Johnny A. Sanchez,1,6.2
Ai Orikasa,2,7.45
Chandra West,2,6.65
Koki Maeda,1,7.3
Miles Robertson,1,8
Olga Dihovichnaya,2,6.35
Meredith Sweeney,1,4.9
Kazuya Kojima,1,6.9
Frédérique Bel,4,5.668
Paolo Romio,1,6.1
Mía Maestro,3,5.966666667
Dan Shor,1,5.6
Johnny Vekris,1,6.3
Kevin Parent,1,6.9
Ted Monte,2,4.8
Alberto Di Stasio,1,6.928
Paula Labaredas,1,4.4
Charlie Patch,1,4
Courtney Abbott,1,5.6
Chems Dahmani,1,5.951
Drake Shannon,1,7.2
Marla Sokoloff,4,5.48325
Giselle Motta,3,6.733333333
François Morel,7,6.568285714
Candy Crowley,1,7
Elizabeth Ruíz,1,7.4
Ali Stokes,1,6.3
Alba García,1,4.6
Kate Lyn Sheil,3,5.486
Małgorzata Socha,2,4.55
Lucas Black,3,6.066666667
Richard Blackwood,1,7.5
Hiroshi Fujioka,1,6
Yayan Ruhian,3,6.095333333
Amber Lynn,1,5.6
Robert John Burke,2,6.2425
Tim Mcmullan,2,6.95
Aliza Mo,1,6.1
Yûki,1,5
Ricard Farré,2,5.799
Syamsul Arifin,1,7.7
Adnan Hasković,1,7.3
Steve Purcell,2,6.1155
John Henshaw,2,7.226
Bruce Lee,1,7.7
Mackenzie Brooke Smith,1,7
Rich Mcdonald,2,5.5815
Matthew Lewis,3,7.131
Hallvard Holmen,1,6
Jason Beghe,3,7.072333333
Harry Hamlin,2,6.55
Patty Duke,1,6.7
Ranvir Shorey,2,6.25
Tori White,1,5.336
Ryan Keely,1,4.482
Fionn Walton,1,5.8
Gina Philips,1,4.1
Silje Reinamo,1,5.4
Allie Macdonald,2,5.36
Olivia Hardt,1,4.1
Aftab Shivdasani,1,5.9
Gonzalo Vega Sisto,1,6.7
Serj Tankian,1,7.4
Li Zhanyang,1,7.013
Nihan Aypolat,1,5
Joanna Ferkic,1,6.3
Eduardo Sterblitch,3,5.833333333
Miguel Alcíbar,1,6.2
David Otunga,1,6.8
Nolan Gerard Funk,4,5.37375
Janet Ulrich Brooks,1,6.683
Vincent Pastore,2,5.95
Asha Sarath,3,7.003333333
Christian Pitre,1,5.7
Alexandra Roach,5,7.0862
Annie Quinn,1,5.3
Danny Sapani,2,7.0595
Robert Trujillo,1,6.822
Conan Stevens,1,4.1
Yeo Yann Yann,2,6.757
Sammi Cheng Sau-Man,1,6.1
Agustín Silva,2,5.55
Alex Van Warmerdam,1,6.494
Klaus Tange,1,6.3
Gustavo Santaolalla,2,7.55
Keith Parry,1,8.6
Enrico Vecchi,1,5.4
Mick Fleetwood,1,7.34
Pattie Mallette,1,7.1
Sam Douglas,1,5.8
Luisa Acevedo,1,6.6
Travis Milne,2,7.05
Haji Gul Aser,1,6.5
David Eigenberg,2,6.85
Veronica Calilli,1,2.056
Micheal Goudd,1,7.5
Mimi Kennedy,2,6.25
Vahina Giocante,1,4.692
Sarah Strange,3,5.666666667
Kristian Halken,1,5.1
Kevin Nealon,2,6.45
Madeleine West,1,7.4
Cha Soon-Hyeong,1,6.1
Jorge Diaz,3,6.1
Juan Blanco,1,6.9
Stephanie Bennett,5,5.6872
Armando Riesco,1,6
Cocoa Brown,1,6
Lukas Pelissier,1,6.31
Bae Mi-Ra,1,4.5
André Szymanski,1,7.2
Ralitsa Paskaleva,5,5.54
Paul Luebke,2,6
Andrew Gillies,1,4.65
Michael Kessler,5,7.3032
Natalya Surkova,1,7.9
Yuria Haga,1,6.3
Julian Shatkin,1,7.4
Alfred Hitchcock,1,7.6
Morgan West,1,3
Saki Takaoka,3,7.150666667
Roger Ebert,1,7.5
Lee Kang-Sheng,3,6.170333333
Atsumi Kanno,1,5.5
Andy Dick,2,4.6
Kylee Nash,3,5.996333333
Sammie Spades,1,6.6
Susan T. Travers,1,4.644
Joyful Drake,3,6.533333333
Bruna Amaya,1,6.9
Mark Van Eeuwen,3,6.7
Dianne Wiest,9,6.343555556
Jerry Ferrara,3,6.477666667
Daniella Alonso,3,6.448333333
Douglas M. Griffin,2,6.1955
Hirona Yamazaki,4,7.73425
Justine Herron,2,5.4
Jason Woods,1,4.3
Anna Lore,2,2.65
Nonoka Ono,1,5
Oscar Copp,1,6.428
Lara Vosburgh,1,5.3
Eric Masterson,1,6.3
Song Seo-Yool,1,9
Jeon Hyeon-Soo,3,4.246333333
Montgomery Clift,1,7.5
Gillian Tan,1,4.6
Brenton Schraff,1,6.422
Valéria Cavalli,1,6.9
Alesandra Durham,1,6.063
Amy Pietz,2,5.2405
Fehmi Karaarslan,1,6.108
Tatum Miranda,1,4.4
Taylor Cole,5,5.2164
Sebastian Schipper,2,5.6
Seychelle Gabriel,3,6.6
Luis Manuel Alvarez,1,7.4
Alexander Dipersia,1,6.4
Tristan Göbel,2,6.7885
Moon Jae-Hoon,1,4.6
Jim Ward,1,5.8
Non,4,8.27525
Park Ha-Yan,2,6
Agnė Grudytė,1,7
Harshvardhan Rane,3,6.709333333
Maxim Driesen,1,6.4
Mama Prassinos,1,6.8
Liam Gallagher,1,7.4
Jared Raab,2,3.05
Alex Steele,1,5.667
Clara Wong,1,6.2
Miles Doleac,2,5
Lim Hyeong-Soon,1,6
Alexander Gruzdev,1,7.2
Ronnie Khalil,1,4.7
Michel Subor,1,5.798
Gary Daniels,3,4.5
Lee Hyo-Je,2,7.1665
Ida Ursin-Holm,2,6.4
Svenja Jung,4,6.85
Christopher Backus,1,4.5
Therese Damsgaard,1,5.3
Brooke Butler,3,4.996
Timothy Lyle,1,5.2
Tomoko Fujita,1,5
Rhoda Pell,1,5.4
Esha Gupta,1,6.7
Cameron Winklevoss,1,6.316
Mariya Lavrova,1,4.69
Kim Nam-Soo,1,6.3
Brandon Smith,1,4.895
Jeannie Park,1,9.5
Thaila Ayala,1,6.6
Sergey Burunov,2,7.55
Ace Toledo,1,3.8
Kaitlyn Bernard,2,6.566
Ulrich Brandhoff,1,6.9
Alexandra Borbély,1,7.231
Leland B. Martin,1,6.693
Stéphane Ferrara,1,6.2
Lynn Hung Doi-Lam,2,5.96
Edmund Kingsley,1,6.3
Jade Ramsey,3,4.4
Aeona Cruz,1,5.679
Liv Bagley,1,5.679
Pat Kinevane,2,6.55
Taegen Burns,2,6.2445
Henry B.J. Phiri,1,6.7
Kabby Borders,2,5.9
Corrado Solari,1,5.8
Mimoun Benabderrahmane,1,6.5
Aj Rivera,1,5.8
Claudio Camilli,1,6.1
Savannah Liles,1,6.1
Ben Hardy,6,5.663166667
Leigh Whannell,3,6.266666667
Nick Castle,2,6.5
Jóhannes Haukur Jóhannesson,4,6.4305
Chelsea Islan,4,6.963
Bruce Khan,2,6.5435
Suteerush Channukool,2,5.488
Grégory Montel,3,7.162666667
Lian Machín,1,7.884
Song Gi-Myung,1,1
David Hogg,1,7.1
Jóhann Sigurðarson,1,7.2
Magnús Trygvason Eliassen,1,7.2
Susan Yeagley,1,5.4
Rhonda Dent,1,6.8
Mónica López,2,7.1015
Robert Shafran,1,7.3
Agustín Aristarán,1,6.737
Dana Ivey,1,7.1
Irina Temicheva,1,5.2
Zach Appelman,1,6.3
Martina Stella,2,4.4
Eric Feltes,1,5.1
Jo Sung,1,5.802
Heinz Hoenig,1,6.3
Alexander Mcqueen,1,7.528
Dean-Charles Chapman,2,6.8
Tim Schwarzmaier,1,6.7
Lee Dong-Ju,1,4
Sam Kazzi,1,5.2
Oto Brantevics,1,7.3
Chris Finlayson,1,6.9
Ugyen Norbu Lhendup,1,7.5
Kulvinder Ghir,2,6.75
Aggy K. Adams,1,5.8
Park Seong-Yeon,1,7.4
Nicholas Farrell,1,6.2
Dennis Renard,1,5.9
Elle Lamont,1,5.966
Loraida Bobadilla,1,6.8
Krystal Brimner,1,7.1
Christos Stergioglou,2,6.572
Mendel Fogelman,1,4.4
Coline D'inca,1,5.87
Franco Maresco,1,7.6
Seo Eun-Ah,2,7.2
Souad Amidou,1,6.6
John Mulaney,8,5.98575
Scarlett Diamond,1,8.4
Teri Wyble,1,6.637
Ryan Masson,1,6.5
Naomi Watanabe,1,7.4
Jessica Mcnamee,8,5.17825
Tommy Gene Surridge,1,6.3
Magnus Millang,1,7.6
Arliss Howard,3,6.942
Sasha Alexander,3,7.063666667
Troy Iwata,2,6.6
Musa Aden,1,7
Rachael Denhollander,1,7.6
Barbie Blank,1,4.6
Marc Fraize,1,6.431
Yorgos Pirpassopoulos,1,6.6
Lauren E. Hubbard,1,4.5
Maciej Musiałowski,2,6.45
Alison Brooks,1,6.3
Clara Kovacic,2,5.661
Alix Poisson,3,3.925
Olga Dumnova,1,5.5
Hilton Pelser,1,6.7
Willy Acosta,1,7.3
Rómulo Aitken,1,7.9
Tshamano Sebe,1,6
Jung Hee,1,4.2
Kellyanne Conway,1,6.608
Barry Gibb,2,3.8
Alexandre Wetter,1,7.2
Malia Ann,1,7.4
Michole Briana White,1,6.768
Ari Notartomaso,2,6.45
Michael Gandolfini,1,6.3
Cyril Garnier,1,6.7
Archie Yates,1,4.9
Sibil Fox Richardson,1,6.803
André Eriksen,2,6.44
Lewis Mcaskie,1,7.1
Elizabeth Hurley,3,5.933333333
Danny Deferrari,1,7.183
Miss Lawrence,2,6.65
Sergio Prina,2,6.55
Jacy King,1,5.1
Yootha Wong-Loi-Sing,2,6.567
Jerónimo Barón,1,6
Elizabeth Counsell,1,6.4
Toshiji Takeshima,1,6.2
Takuya Tasso,1,6.8
Fay Kelman,1,4.8
Maya Vanderbeque,1,7.1
Hidenobu Abera,1,0
Vision Wei,3,5.2
Carla Diaz,2,6.35
Argyris Bakirtzis,1,6.4
Mónica Del Carmen,6,6.824833333
Fadily Camara,1,5.9
Elliott Fullam,2,6.8
Belissa Escobedo,3,6.504
Andrea Gaia Wlderk,1,6.2
Chris Connelly,1,7.1
Ryoki Miyama,1,7.5
Jenny De Nucci,2,6.3
Teressa Liane,1,5.559
Ximena Lamadrid,3,6.837
Daniel Ben Zenou,1,6
Morten Burian,1,6.6
Chris Mccune,1,7.3
Elaine Chao,1,7.1
Tygo Gernandt,2,6.85
Nathalie Issa,1,7.4
Michelle Forcier,1,6.8
Anna Paliga,1,4.995
Marisa Abela,4,4.972
Ezgi Şenler,1,6.7
Gail Mabalane,2,7.25
Macrina Bârlădeanu,1,6.98
Eirik Sæther,1,7.2
Andrei Duarte,2,8.7
Erin Trimble,1,4.85
Brigitte Kali Canales,2,6.689
Yahya Abdul-Mateen Ii,5,6.6706
Pattechin Sasipatthanathada,1,7.4
Lizzy Willis,1,6
Camilla De Lucas,1,6.3
Marc Riso,2,6.4465
Iris Papas,1,5.979
Gaston Alexander,1,5.979
Milo Machado-Graner,3,4.656666667
Ansuya Nathan,1,6
Rene Calvo,1,6.1
Stephanie Raz,4,3.425
Marcella Plunkett,1,6.9
Ari Novak,1,9.3
Roger Ajogbe,1,6.7
Bianca Beckles-Rose,1,4.51
Axel Alpuche,1,6.8
Ale Lindman,1,4.5
Marlene Burow,1,6.068
Pierre Lognay,1,7.9
Thomas Coombes,1,6.7
James Watterson,1,5.7
Namfon Pakdee,1,6.8
Kimberly Williams-Paisley,6,6.409333333
Damiano Gavino,1,6.965
Lou Charmelle,1,8
Miren Ibarguren,4,6.1
Anaita Wali Zada,1,6.458
Remy Hii,4,6.86025
Brenda Bazinet,1,7.6
Tamara Radovanović,1,4.3
Terena França,1,7.5
Christa Taylor Brown,1,6
Junjun Quintana,1,2.7
Francesca Cavallin,1,6.7
Jc Santos,2,8.05
Jessica Chancellor,1,3.2
Jonathan Feltre,1,6.899
Ivonne Dahler,1,7.7
Adain Bradley,2,6.25
Christos Kalabogias,1,5.8
Paul Che Biu-Law,1,7.1
Lea Ciarachel,1,5.2
Sri Gouri Priya Reddy,1,7.2
Holly Kenney,1,6.032
Kathy Burke,1,5.8
Jon Sklaroff,1,6.221
Sonia Manzano,1,7.2
Tom York,1,6.366
David Johnson Iii,1,6.7
Sophie Rois,2,5.75
Pete Holmes,3,6.433333333
Jean-Baptiste Durand,1,6.4
Dominic Allburn,1,6.4
Shaffy Bello,2,5.1
Mounir Al Shami,1,6.8
Ilana Glazer,5,6.5016
Wu Kang-Ren,10,5.7725
Will Or,1,3.8
Peter Todd,1,6.2
Adam Back,1,6.2
Damian Williams,1,6.3
Mondo Otani,1,8.3
Joanna Trzepiecińska,1,5.2
Gizem Erdem,1,7.4
Ondrej Stupka,1,8.3
Patrick Cage,1,6.9
Bruce Leung Siu-Lung,2,5.8
Antonio Folletto,3,6.801333333
Saverio Picozzi,1,6.4
Sasha Bhasin,1,5.679
Dragan Mićanović,2,5.05
Gerard Gravano,1,7.2
Ruth Marini,3,6.666666667
Eiga Matsuo,1,0
Kal Merritt,1,0
Golo Euler,2,0
Pradeep Ranganathan,2,5
Saumil Chawla,1,0
Paul Simon,1,0
Fanni Hegedüs,1,0
Peter Mcmanus,1,0
Vanessa Smythe,1,0
Sandor Funtek,2,3.25
Wavi Zihan,3,2.333333333
Lucas Gustavsson,1,0
Yimer Abate,1,0
Ramzan Muhammed,1,7.5
Jasmin Bhasin,2,5
Kinan Azmeh,1,0
Tony Drazan,1,0
Ye Xinyu,1,0
Lydia Hearst,6,4.051166667
Velina Georgieva,1,0
Arunima Ghosh,1,0
Kirana Pipityakorn,1,5.5
Gregg Binkley,1,0
Jet Sullivan,1,0
Ava Bub,1,0
Becky Ann Baker,1,0
Nazarena Rozas,1,0
Ramzi Bashour,1,0
Diana Penty,3,6.7
Gabriel Bortoleto,1,10
Fiona Palomo,4,7.993
Romeo Price,1,10
Megan Hauserman,1,10
Kaho Mizutani,2,6.95
Jinwen Chen,5,5.02
Glenn Viel,1,7.5
Tomoka Kurotani,1,7.331
Carol Paiffer,1,7.2
Simon Mattacks,1,10
Cristina Șerban-Ionda,1,7.6
Andreu Buenafuente,3,6.5
Sakura Tange,3,3.766666667
Adam Irigoyen,1,7.6
Ming Junchen,1,0
Maurício Rizzo,1,5.667
Xuesong Lin,1,5
Anne-Marie Salameh,1,0
Chris Doumitt,1,7
Shuntarô Miyao,1,5.3
Wu Chu Yi,1,7.2
Naima Gutiérrez,1,8
Jérôme Robart,2,7.5585
Lee Tae-Ri,2,5.952
Chen Amsalem,3,5.833333333
Takayuki Kondo,3,6.393666667
Elena Leeve,1,6.1
Andrea Chen,2,5.8
Maja Kwaśny,1,7.3
Evan Thomas,1,7
Moon Bin,1,8
Savannah Chrisley,1,7.1
Tarek El Moussa,1,6.1
Joyce Beullens,1,10
Rasmus Brohave,1,9
Seann Walsh,1,7
J. Anthony Pena,1,7.244
Loreto Valenzuela,1,2
Li Lingyu,1,0
Bryce Holdaway,1,2
Del Irani,1,2
Paulina Vetrano,1,8.6
Siddharth Thakkar,1,6
Rubén Zamora,3,5.333333333
Marissa Lenti,1,8.1
Alicia Machado,3,4.4
Kim Min-Ha,1,7.9
Tristen J. Winger,1,7.5
Bruce Mcculloch,1,6.3
Charles Band,1,6
Kwon Min-A,2,3.05
Zhargal Badmatsirenov,1,9.3
Shreya Dhanwanthary,2,7.2
Kristina Babushkina,2,0
Snake Zhang,2,8.85
Karolina Kominek,2,3.4
Marie Montoya,1,0
Guido Pennelli,1,7.3
Wigald Boning,1,0
Hazal Türesan,2,8.2
Ferdinando Valencia,1,0
Lucas Lynggaard Tønnesen,1,7.3
Cheyenne Jackson,1,6.3
Allan Arnold,2,5.15
Aline Mineiro,1,3.8
Jin Ga-Eun,1,6
Laura Perico,3,6.875666667
Li Jiaxuan,2,0
Rob Gronkowski,1,8
Marianly Tejada,1,7.1
Eric Goens,1,7.5
Vernon Chatman,1,7.4
Song Chae-Hwan,1,4
Chen Xijun,1,10
Lin Yo-Wei,5,5.4
Li Yiling,2,0
Julia Rosnowska,1,7
Ahmed Kamal,2,0
Orfeas Avgoustidis,1,8.5
Lei Yao,1,8.3
Yang Hee-Eun,1,0
Manuel Regueiro,1,7.6
Chalad Na Songkhla,1,8
Maurizio Crozza,2,7.1
Prajakta Jahagirdar,1,0
Yaniv Swissa,1,8.7
Noriyuki Higashiyama,1,7.1
Bretman Rock,1,7.8
Laila Taher,2,2.5
Mónica Godoy,2,2
Peggy Tseng,1,7.4
Mahmoud Nasr,3,5.333333333
Patricia Kelly,1,2
Maria Rueff,1,5.8
Najima,1,7.5
Guo Liang,1,0
Daniel Sharman,3,7.284
Alan Barinholtz,1,7.6
Tara Lawson,1,0
Drew Davis,3,6.866666667
Nikhil Chaddha,1,0
Terence Hill,1,5.118
Seira Hayakawa,1,0
Guo Tongtong,1,7.3
Paul Sun-Hyung Lee,2,6.4
Lee Suk-Hyeong,1,7.671
Alisa Khazanova,2,6.936
Lola Marceli,1,4.7
Avery Shoaf,1,7.6
Jurij Zrnec,1,9
Amy Aquino,1,7.9
Pingyou Yang,2,0
Luciano D' Alessandro,1,0
Shaul Amsterdamski,1,0
Yiftach Samucha,1,0
Lily Cowles,1,7.776
Sofia Ribeiro,3,2.233333333
Hu Lianxin,4,7.7
Ladislav Cigánek,1,0
Mc Gilles,1,0
Caitlin Barlow,1,5.295
Kathryn Renée Thomas,1,5.295
Amparo Piñero,1,5.7
Monica Mariotti,1,6
Guy Sebastian,2,3
Diggy Simmons,1,8
Masayuki Kusumi,1,9
Michael Rowland,1,5.9
Rui Morisson,1,6.7
Park Joon-Geum,2,5.875
Jang Min-Kyo,1,0
Jin Luying,2,3
Wu Lingwei,1,0
Mandeep Dhillon,2,7.55
Tülay Bekret,1,6.3
Camino Moreno,1,7.5
Danny Leshman,1,0
Nihal Koldaş,1,7.825
Park Hae-Mi,2,5.85
Nicu Banea,1,8.5
Ming Chen,4,7.976
Moon Seo-Yoon,1,8.461
Maranda Johnson,1,10
Jenny Marrs,1,5.7
Sakonrat Woraurai,1,8
Javon Walton,4,7.21775
Lee Tae-Gon,4,4.325
Ahn Sun Young,2,2.5
Pavel Šporcl,1,6
Antoine Hamel,1,0
Radoslav 'rale' Milenković,1,9
Mathias Kahler,1,0
Callie Haverda,1,6.749
Ian Yi,1,7.2
Oh Hyun-Kyung,4,5.3
Hakan Boyav,2,8.2
Hana Toyoshima,2,7.55
Nagisa Saito,2,6.1
Tsukaji Muga,2,3
Kyoko Fukada,3,7.766666667
Yuna Bennett,2,7.544
Devin Kelley,3,6.564333333
Pentor Jeerapat Pimanprom,1,8.5
Stephen Bogaert,1,8
Eugenia Cauduro,3,6.618333333
Selin Demiratar,1,5
Marisa Yasmin,1,0
Ángela Cervantes,2,2.7855
Hassan Abdullah,1,0
Gary Valenciano,1,0
Ashwin Sakthivel,1,6.9
Alpana Buch,1,0
Abdellah Didane,2,3
Chen Heyi,5,7.2
Yamaç Telli,1,7.5
Ryuichi Hamaie,2,4.25
Amanda Setton,1,6.1
Tobi Brown,1,8
Klea Pineda,1,9
Eliza Coupe,2,7.1
Gigi Abraham,1,0
Veronica Taylor,1,0
Thiago Ventura,1,7.6
Alexa Goodall,1,7
Natalie Palamides,2,5.75
Li Boyan,1,7
Ibrahim Nasr,1,7.5
Sahomi Koyama,1,5.7
Ebru Akel,1,6
Lee Si-Kang,2,6
Zuri Reed,1,6.901
Judi Shekoni,2,6.641
Isla Rose,1,0
Lia Kim,1,9.4
Shweta Munshi,1,0
Patrick Cohen,1,0
Satoshi Tokushige,1,8.4
Gary Sweet,2,2.85
Shiina Natsukawa,3,6.842333333
Metin Çekmez,2,7.25
Jatin Suri,1,0
Margarida Corceiro,1,7.3
Yan Yuhao,2,7.85
Yıldız Çağrı Atiksoy,2,7.5
Goo Bon-Seung,2,6.1
Lee Seok-Hoon,3,0
Yasmine Raeis,2,2
Ece Uslu,2,8.528
Lolita Banana,1,6.7
India Ria Amarteifio,1,8.04
Andy Bassich,1,7.4
Krzysztof Świłpa,1,0
Anson Chen,1,7.4
Niihara Taisuke,3,8.3
Grynet Molvig,1,6.9
Ted Travelstead,1,8.552
Kato Kaelin,1,7.7
Tse Kwan-Ho,7,4.306857143
Roan Curtis,1,7.7
Luke James,1,7.6
Gong Hyun-Joo,1,6.1
Kristýna Podzimková,2,7.75
Denis Sinyavskiy,3,3.2
Nathalie Fellonneau,1,1
Cho Mi-Yeon,2,8.1
Steve Mazzaro,1,0
Herizen F. Guardiola,2,7.031
Brianna Jaramillo,1,8.5
Ezgi Özyürekoğlu,1,4.9
Danish Taimoor,2,5
Angel Coulby,1,7.6
Madelyn Gosselin,1,5.3
Qing Liu,4,7.5
Patricia Paquin,1,0
Bill Courage,1,6.7
Érika Villalobos,1,0
Kwak Jung-Eun,1,2
Garrett Morris,2,7.307
Byun Young-Joo,2,4.2
Francesco Pezzulli,1,8.7
Gabriela Durlo,1,7.786
Duan Bowen,1,6
Peter Barakan,1,6.4
Derek Kwok Jing-Hung,3,0.3333333333
Mohamed Anwar,2,5.5
Leo Woodall,3,7.196
Skyh Alvester Black,1,9.3
Candace Neolani Maxwell,1,9.3
Kjell Wilhelmsen,1,6.5
Mariya Poroshina,4,5.25
Ben Napier,1,6.7
Dylan Schmid,3,6.185666667
Kjartan Skjelde,2,3
Tetona Jackson,2,5.45
Joe Sims,1,7.262
Jim Schmidt,1,7.3
Lazaros Georgakopoulos,2,0
Hesam Khalilnejad,1,10
Özge Özder,1,4.6
Dalton Rangel,1,0
Rop Verheijen,1,7
Luis Coppini,1,2
Mika Negishi,1,6.5
Rafinha Bastos,1,8
Joe Bastianich,1,7.1
Hamish Michael,2,7.525
Joe Zieja,2,7.6
Nikoleta Kotsailidou,1,8.4
Jung Woo,1,7.8
Claire Chust,1,0
Melbelline Caluag,1,0
Ghassan Ismail,2,4.75
Brahim Bouhlel,1,6.7
Pavel Granados,1,5.5
Iryna Soponaru,1,6.8
Hynek Čermák,2,5.2
Dmitriy Miller,2,2.95
Greeicy Rendón,3,5.733333333
María Cristina De Angulo Botero,1,7.9
Kali Hawk,3,5.397333333
Elkin Díaz,1,7.587
Giulia De Lellis,1,6.864
Fábio Assunção,4,7.5095
Napat Injaieua,3,5.333333333
Victoria Martín,1,5.5
Sabrina Wu,2,3.3
Jin Yamanoi,2,7.7
Rafael Lozano,1,7.165
Rosalinda Serfaty,1,0
Yuko Ono,3,6.5
Fred Cheng Chun-Hung,1,8
Li Xiaomeng,4,2.125
Nadiya Hussain,1,6.3
Diego Gonzalez,1,0
Rina Grishina,1,8.2
Steven Rinella,2,4.05
Pasha Ebrahimi,1,6.8
Ernest Lawson,1,7
Mirei,1,8.8
Ean Castellanos,1,7.1
Aoi Ichikawa,2,8.318
Mila Guy,1,8.5
Navapaibool Sukwutthinanons,1,0
Jean-François Mercier,2,0
Ekaterina Vostrikova,1,0
Barbara Weber-Scaff,1,7.7
Song Won-Geun,1,6
Christopher Jackson,1,7
Joon Lee,1,7.6
Kim Seo-Young,1,7
Sambhabana Mohanty,1,5.5
Phil Spencer,1,7.5
Masumi Nomura,1,6.9
Hina Suguta,1,8.49
John Burton,1,7.5
Pervin Mert,1,7.8
Marieke Elsinga,3,3.933333333
Wang Cong,1,0
Gabriel Gatehouse,1,0
Darko Milas,1,7
Smaïn,1,0
Lin Jiachuan,2,3.75
Alice Raucoules,1,0
Goran Stojanovski,1,9
Huang Junjie,5,7.0766
Richard Holmes,2,6.949
Matt Wu,1,0
Jorge Rausch,3,1.333333333
Christian Mikkelsen,2,4
Cahid Huseynli,1,10
Gijs De Corte,1,5.9
Benjamin Heckendorn,1,0
Tatsumaru Tachibana,4,5.525
Arbnora Ademaj,1,5.5
Anyarin Terathananpat,1,0
Türkan Şoray,1,6
Cao Jun,2,3
Shany Nadan,1,7.8
Li Yuxuan,2,8.5
Gregory Smith,2,6.8
Victoria Ramos,1,8
Barnaby Tobias,1,6.64
Yoshiko Sakakibara,3,5.066666667
Felipe Ribeiro,1,0
Thea Dorn,1,0
Philippe Spiteri,1,8.5
Jitendra Trehan,1,0
Ilkka Uusivuori,1,0
Frank Aendenboom,1,6.8
Carla Díaz,4,5.9
Luiza Grigorova,1,7
Stephany Seki,2,6.4
Eduardo Rodríguez,1,0
Seo Bum-June,1,7.714
Zack Calderon,1,7.7
Griffin Matthews,1,8
Macarena Paz,1,5.5
Oliver Fleischer,1,5.3
Lo Kauppi,1,6.9
Cerina Marchetta,1,0
Sicen Liu,2,8.3
Iro Mane,1,6.5
Mawaan Rizwan,1,7.3
Nadine Tahsin Bek,2,4.5
Yang Kun,3,3
Guillaume Lambert,2,3.15
Aashish Solanki,1,7.5
Hoshimachi Suisei,1,9.8
Kim Jeong-Hoon,4,5.8
Kimsha Artest,1,6.167
채승병,1,0
Daishi Kajita,2,4.25
Thérèse Boer,1,0
Nichapalak Thongkham,2,7.7365
Xavier Conrad Ducrocq,1,10
Luis José Santander,1,2
Charlie Hodson-Prior,1,6.9
Fontina Fourtounes,1,6.7
Carly-Sophia Davies,2,6
Joyin Cai,1,5
Matt Baram,2,7.5
Isabelle Benhadj,1,4.8
Mariusz Jakus,1,2.2
Hatim Salah,2,3.45
Giana Eid,1,9
Qasim Melho,1,9
Herbert Bautista,1,10
Li Nuo,2,5
Chiara Francia,1,8
Eddy Ben Youssef,3,1.566666667
Juan Macedonio,1,0
Clément Sibony,3,4.997
Emiri Suyama,1,8.5
Maiko Kawakami,1,10
Alyssa Cheatham,1,8
Miguel Varoni,5,7.349
Andrey Urgant,1,5
Nick Apostolides,1,7.6
Sittichok Pueakpoolpol,1,7.154
Kirsty J. Curtis,1,6.732
Lee Yong Woo,2,4.7
Ban Hyo-Jung,2,5.9
Raissa Chaddad,1,8.4
Mieko Harada,3,7.5
Patrícia Barros,1,6
Omar Khorshed,1,0
Sornram Theppitak,1,6
Vikas Khanna,3,1.733333333
Zhang Boyu,3,6.4
Agam Darshi,3,7.013666667
Kotori Koiwai,3,7.5
Toru Sakurai,1,7.7
Joon Cholrudee Amornluk,1,0
Heart Ramos,1,8
Thuso Mbedu,3,7.651666667
Gaurav Gera,1,5
Berat Efe Parlar,1,9.5
Michael Seater,1,7
George Mason,1,7.3
Grigoris Valtinos,1,5
Aria Johnson,1,6
Pavel Savinkov,1,7.2
Raegan Revord,1,8.1
Daniel Ferri,1,7
Karim Abdel Aziz,3,7.433333333
Patty Brard,1,0
Zeng Yixuan,1,6.1
Marin Moraru,1,5.8
Megan Stevenson,1,7.5
Kang Shin-Hyo,2,6.599
Manuel Sosa,2,3
Sophia Laforteza,1,8.1
Matilda Ramsay,2,7.9
